,noun,tag,t_count
1854,달인,CV_POSITION,4287
1855,일등공신,CV_POSITION,4287
1856,한국민,CV_POSITION,4287
1857,오징어남들,CV_POSITION,4287
1794,간수,CV_POSITION,4287
1792,초딩자,CV_POSITION,4287
1245,대환장,CV_POSITION,4287
1202,여소대장,CV_POSITION,4287
1222,인어공주,CV_POSITION,4287
1221,역겨운벌레,CV_POSITION,4287
1220,형님,CV_POSITION,4287
1219,예비 사치녀,CV_POSITION,4287
1218,예비 범죄자,CV_POSITION,4287
1217,비정규직,CV_POSITION,4287
1216,중공간첩,CV_POSITION,4287
1215,범죄자,CV_POSITION,4287
1214,혼외자,CV_POSITION,4287
1213,애국자,CV_POSITION,4287
1212,갤러리,CV_POSITION,4287
1211,인민,CV_POSITION,4287
1210,동성애자,CV_POSITION,4287
1209,무슬림,CV_POSITION,4287
1208,신자,CV_POSITION,4287
1207,테러범,CV_POSITION,4287
1206,개슬람,CV_POSITION,4287
1205,개보호자,CV_POSITION,4287
1204,난민,CV_POSITION,4287
1223,불법체류자,CV_POSITION,4287
1224,원장,CV_POSITION,4287
1225,손님,CV_POSITION,4287
1236,토박이,CV_POSITION,4287
1244,남자유저,CV_POSITION,4287
1243,게이ㅅㄲ,CV_POSITION,4287
1242,관장,CV_POSITION,4287
1241,게이,CV_POSITION,4287
1240,피해자,CV_POSITION,4287
1239,짱께세키,CV_POSITION,4287
1238,언더테이커,CV_POSITION,4287
1237,사지,CV_POSITION,4287
1235,샌드니거,CV_POSITION,4287
1226,외노자,CV_POSITION,4287
1234,거지,CV_POSITION,4287
1233,대머리더,CV_POSITION,4287
1232,후보,CV_POSITION,4287
1231,알바생,CV_POSITION,4287
1230,장관,CV_POSITION,4287
1229,CEO,CV_POSITION,4287
1228,사장,CV_POSITION,4287
1227,유학생,CV_POSITION,4287
1203,왕,CV_POSITION,4287
1201,게,CV_POSITION,4287
1791,예비 성범죄자,CV_POSITION,4287
1200,바리스타,CV_POSITION,4287
1177,장애인,CV_POSITION,4287
1176,문신,CV_POSITION,4287
1175,된장녀,CV_POSITION,4287
1174,국민,CV_POSITION,4287
1173,대리,CV_POSITION,4287
1172,여사,CV_POSITION,4287
1171,지잡대생,CV_POSITION,4287
1170,운전자,CV_POSITION,4287
1169,골빈,CV_POSITION,4287
1168,시민,CV_POSITION,4287
1167,동포,CV_POSITION,4287
1166,지지자,CV_POSITION,4287
1165,아이돌,CV_POSITION,4287
1164,주인공,CV_POSITION,4287
1163,외국인,CV_POSITION,4287
1162,전교생,CV_POSITION,4287
1788,존잘러,CV_POSITION,4287
1789,종북친북빨갱이,CV_POSITION,4287
1790,종북페미,CV_POSITION,4287
1178,틀딱,CV_POSITION,4287
1179,노숙자,CV_POSITION,4287
1180,부자,CV_POSITION,4287
1191,서민,CV_POSITION,4287
1199,등골브레이커,CV_POSITION,4287
1198,야만인,CV_POSITION,4287
1197,븨융진,CV_POSITION,4287
1196,최상의포식자,CV_POSITION,4287
1195,주인,CV_POSITION,4287
1194,여직원,CV_POSITION,4287
1193,정자,CV_POSITION,4287
1192,갓양키,CV_POSITION,4287
1190,감자맨,CV_POSITION,4287
1181,반장,CV_POSITION,4287
1189,대통령,CV_POSITION,4287
1188,환자,CV_POSITION,4287
1187,간부,CV_POSITION,4287
1186,임대충,CV_POSITION,4287
1185,성범죄자,CV_POSITION,4287
1184,위안부,CV_POSITION,4287
1183,가부장,CV_POSITION,4287
1182,노예,CV_POSITION,4287
1425,임원,CV_POSITION,4287
1427,스멜 오진,CV_POSITION,4287
1786,흰둥이자식,CV_POSITION,4287
1652,특채자,CV_POSITION,4287
1672,3관왕,CV_POSITION,4287
1671,지원자,CV_POSITION,4287
1670,여자 장애인,CV_POSITION,4287
1669,여자 소대장,CV_POSITION,4287
1668,여자 대통령,CV_POSITION,4287
1667,여왕,CV_POSITION,4287
1666,여신,CV_POSITION,4287
1665,보들보,CV_POSITION,4287
1664,임금,CV_POSITION,4287
1663,남돌,CV_POSITION,4287
1662,정신장애아,CV_POSITION,4287
1661,사병,CV_POSITION,4287
1660,부사관,CV_POSITION,4287
1659,사무직,CV_POSITION,4287
1658,엠흑,CV_POSITION,4287
1657,골빈년인,CV_POSITION,4287
1656,여자 직원,CV_POSITION,4287
1655,지잡노예거지,CV_POSITION,4287
1654,정병환자,CV_POSITION,4287
1673,임대인,CV_POSITION,4287
1674,여자사장,CV_POSITION,4287
1675,여자주인공,CV_POSITION,4287
1686,지신,CV_POSITION,4287
1694,ㅅㄲ,CV_POSITION,4287
1693,여성손님,CV_POSITION,4287
1692,뱞신,CV_POSITION,4287
1691,추장,CV_POSITION,4287
1690,무법자아,CV_POSITION,4287
1689,VIP,CV_POSITION,4287
1688,개찌질이,CV_POSITION,4287
1687,장본인,CV_POSITION,4287
1685,예비살인자,CV_POSITION,4287
1676,부하직원,CV_POSITION,4287
1684,주임,CV_POSITION,4287
1683,영업맨,CV_POSITION,4287
1682,검열,CV_POSITION,4287
1681,연쇄 살인범,CV_POSITION,4287
1680,X맨,CV_POSITION,4287
1679,떨거지,CV_POSITION,4287
1678,파오덕후,CV_POSITION,4287
1677,여혐무새,CV_POSITION,4287
1653,게이자식,CV_POSITION,4287
1651,화류,CV_POSITION,4287
1696,특기자,CV_POSITION,4287
1650,구독자,CV_POSITION,4287
1627,앱등이,CV_POSITION,4287
1626,킹갓,CV_POSITION,4287
1625,후빨러,CV_POSITION,4287
1624,골빈년,CV_POSITION,4287
1623,넘버원,CV_POSITION,4287
1622,진행자,CV_POSITION,4287
1621,농노,CV_POSITION,4287
1620,협력자,CV_POSITION,4287
1619,천민광대,CV_POSITION,4287
1618,승객,CV_POSITION,4287
1617,신입사원,CV_POSITION,4287
1616,지적장애인,CV_POSITION,4287
1615,재수생,CV_POSITION,4287
1614,교육기관생,CV_POSITION,4287
1613,찐따 장애인,CV_POSITION,4287
1612,하느님,CV_POSITION,4287
1611,부족장,CV_POSITION,4287
1610,여성우월주의자,CV_POSITION,4287
1609,공격수,CV_POSITION,4287
1628,언냐,CV_POSITION,4287
1629,탱탱녀,CV_POSITION,4287
1630,점장,CV_POSITION,4287
1641,의대생,CV_POSITION,4287
1649,무법자,CV_POSITION,4287
1648,정교사,CV_POSITION,4287
1647,장군,CV_POSITION,4287
1646,육수문신,CV_POSITION,4287
1645,아사 예정자,CV_POSITION,4287
1644,도시녀,CV_POSITION,4287
1643,시장,CV_POSITION,4287
1642,카메오,CV_POSITION,4287
1640,약대생,CV_POSITION,4287
1631,쌤플,CV_POSITION,4287
1639,우좀,CV_POSITION,4287
1638,대상자,CV_POSITION,4287
1637,관중,CV_POSITION,4287
1636,문죄인,CV_POSITION,4287
1635,중범죄자,CV_POSITION,4287
1634,두령,CV_POSITION,4287
1633,뷩신,CV_POSITION,4287
1632,러시아녀,CV_POSITION,4287
1695,외노,CV_POSITION,4287
1697,혼혈아,CV_POSITION,4287
1607,전학생,CV_POSITION,4287
1742,문화생,CV_POSITION,4287
1762,초보,CV_POSITION,4287
1761,여사장,CV_POSITION,4287
1760,교육감,CV_POSITION,4287
1759,재소자,CV_POSITION,4287
